#visualizingenergy.org
#Contact: vizen@bu.edu
#
#Title: Global nuclear reactor construction starts 1949-2023
#Time span: 1949-2023
#----------------------------------------------------------------
#Variable: Global nuclear reactor construction starts
#Source: Global Nuclear Power Tracker; Global Energy Monitor; October 2023 release
#Source link: https://globalenergymonitor.org/projects/global-nuclear-power-tracker/
#Data accessed: 2024-02-23
#================================================================
﻿Year,Projects Started
1949,1
1951,1
1953,1
1954,1
1955,6
1956,5
1957,9
1958,7
1959,6
1960,10
1961,6
1962,7
1963,4
1964,8
1965,8
1966,13
1967,17
1968,30
1969,12
1970,26
1971,14
1972,24
1973,20
1974,24
1975,25
1976,26
1977,16
1978,11
1979,16
1980,19
1981,14
1982,14
1983,8
1984,8
1985,11
1986,3
1987,7
1988,7
1989,6
1990,5
1991,2
1992,3
1993,3
1994,1
1995,1
1996,1
1997,3
1998,2
1999,2
2000,6
2001,1
2002,3
2003,1
2004,2
2005,3
2006,5
2007,6
2008,9
2009,11
2010,12
2011,4
2012,8
2013,6
2014,2
2015,7
2016,3
2017,4
2018,7
2019,6
2020,6
2021,8
2022,8
2023,4
